State,ScaleBar,text,year,month
OK,-0.8947368421052632,OK: -0.9,2018,3
OR,-0.06060606060606061,OR: -0.1,2018,3
PA,0.8571428571428571,PA: 0.9,2018,3
SC,-0.325,SC: -0.3,2018,3
SD,-0.2,SD: -0.2,2018,3
TN,1.1538461538461537,TN: 1.2,2018,3
TX,-0.40298507462686567,TX: -0.4,2018,3
UT,-2.0,UT: -2.0,2018,3
VA,0.4090909090909091,VA: 0.4,2018,3
VT,-0.25,VT: -0.2,2018,3
WA,0.5862068965517241,WA: 0.6,2018,3
WI,-0.5454545454545454,WI: -0.5,2018,3
WV,0.7777777777777778,WV: 0.8,2018,3
WY,0.3684210526315789,WY: 0.4,2018,3
AK,2.0,AK: 2.0,2018,4
AR,0.0,AR: 0.0,2018,4
AZ,-2.310344827586207,AZ: -2.3,2018,4
CA,-0.3,CA: -0.3,2018,4
CAN,-0.4444444444444444,CAN: -0.4,2018,4
CO,-1.8282828282828283,CO: -1.8,2018,4
CT,0.7368421052631579,CT: 0.7,2018,4
DE,-0.25,DE: -0.2,2018,4
FL,-1.2391304347826086,FL: -1.2,2018,4
GA,0.0,GA: 0.0,2018,4
IA,-0.6,IA: -0.6,2018,4
ID,0.8333333333333334,ID: 0.8,2018,4
IL,-0.03389830508474576,IL: -0.0,2018,4
IN,0.72,IN: 0.7,2018,4
KS,-2.0,KS: -2.0,2018,4
KY,0.46153846153846156,KY: 0.5,2018,4
LA,-0.25,LA: -0.2,2018,4
MA,0.6666666666666666,MA: 0.7,2018,4
MD,0.09090909090909091,MD: 0.1,2018,4
ME,0.2,ME: 0.2,2018,4
MI,-0.3333333333333333,MI: -0.3,2018,4
MN,0.2727272727272727,MN: 0.3,2018,4
MO,0.34782608695652173,MO: 0.3,2018,4
MS,1.8333333333333333,MS: 1.8,2018,4
MT,0.3333333333333333,MT: 0.3,2018,4
NC,-0.11458333333333333,NC: -0.1,2018,4
ND,-0.2,ND: -0.2,2018,4
NE,-1.0,NE: -1.0,2018,4
NH,0.6666666666666666,NH: 0.7,2018,4
NJ,0.09090909090909091,NJ: 0.1,2018,4
NM,-2.4838709677419355,NM: -2.5,2018,4
NV,0.0,NV: 0.0,2018,4
NY,0.47619047619047616,NY: 0.5,2018,4
OH,1.2926829268292683,OH: 1.3,2018,4
OK,-0.6666666666666666,OK: -0.7,2018,4
OR,0.59375,OR: 0.6,2018,4
PA,0.8888888888888888,PA: 0.9,2018,4
RI,1.6,RI: 1.6,2018,4
SC,-0.45652173913043476,SC: -0.5,2018,4
SD,0.4444444444444444,SD: 0.4,2018,4
TN,0.6666666666666666,TN: 0.7,2018,4
TX,-0.8235294117647058,TX: -0.8,2018,4
VA,0.13043478260869565,VA: 0.1,2018,4
VT,0.16666666666666666,VT: 0.2,2018,4
WA,1.0789473684210527,WA: 1.1,2018,4
WI,-0.45454545454545453,WI: -0.5,2018,4
WV,0.6666666666666666,WV: 0.7,2018,4
WY,0.2631578947368421,WY: 0.3,2018,4
AK,2.0,AK: 2.0,2018,5
AL,-0.5714285714285714,AL: -0.6,2018,5
AR,1.5,AR: 1.5,2018,5
AZ,-2.6097560975609757,AZ: -2.6,2018,5
CA,-0.05,CA: -0.1,2018,5
CAN,-0.5563380281690141,CAN: -0.6,2018,5
CO,-1.4175824175824177,CO: -1.4,2018,5
CT,0.36363636363636365,CT: 0.4,2018,5
DE,0.75,DE: 0.8,2018,5
FL,-0.632183908045977,FL: -0.6,2018,5
GA,-0.14285714285714285,GA: -0.1,2018,5
IA,0.0,IA: 0.0,2018,5
ID,-0.14285714285714285,ID: -0.1,2018,5
IL,-0.46296296296296297,IL: -0.5,2018,5
IN,-0.3548387096774194,IN: -0.4,2018,5
KS,-1.064516129032258,KS: -1.1,2018,5
KY,-0.35714285714285715,KY: -0.4,2018,5
LA,-1.5,LA: -1.5,2018,5
MA,0.0,MA: 0.0,2018,5
MD,0.7,MD: 0.7,2018,5
ME,-0.5,ME: -0.5,2018,5
MI,0.9056603773584906,MI: 0.9,2018,5
MN,-1.0740740740740742,MN: -1.1,2018,5
MO,-0.52,MO: -0.5,2018,5
MS,0.42857142857142855,MS: 0.4,2018,5
MT,1.6,MT: 1.6,2018,5
NC,0.1595744680851064,NC: 0.2,2018,5
ND,-1.5,ND: -1.5,2018,5
NE,-0.8571428571428571,NE: -0.9,2018,5
NH,-0.875,NH: -0.9,2018,5
NJ,1.0,NJ: 1.0,2018,5
NM,-2.8048780487804876,NM: -2.8,2018,5
NV,0.8333333333333334,NV: 0.8,2018,5
NY,-0.2857142857142857,NY: -0.3,2018,5
OH,0.13157894736842105,OH: 0.1,2018,5
OK,-0.21428571428571427,OK: -0.2,2018,5
OR,-1.0,OR: -1.0,2018,5
PA,0.76,PA: 0.8,2018,5
RI,1.0,RI: 1.0,2018,5
SC,-0.35714285714285715,SC: -0.4,2018,5
SD,-0.75,SD: -0.8,2018,5
TN,-0.5,TN: -0.5,2018,5
TX,-1.0491803278688525,TX: -1.0,2018,5
VA,0.43333333333333335,VA: 0.4,2018,5
VT,-0.2,VT: -0.2,2018,5
WA,-0.16666666666666666,WA: -0.2,2018,5
WI,0.6333333333333333,WI: 0.6,2018,5
WV,1.0,WV: 1.0,2018,5
WY,0.6111111111111112,WY: 0.6,2018,5
AL,-0.5,AL: -0.5,2018,6
AR,-1.0,AR: -1.0,2018,6
AZ,-2.4871794871794872,AZ: -2.5,2018,6
CA,-0.75,CA: -0.8,2018,6
CAN,-0.6754966887417219,CAN: -0.7,2018,6
CO,-2.1153846153846154,CO: -2.1,2018,6
CT,-0.6111111111111112,CT: -0.6,2018,6
DE,0.2,DE: 0.2,2018,6
FL,0.36363636363636365,FL: 0.4,2018,6
GA,0.7142857142857143,GA: 0.7,2018,6
IA,0.3333333333333333,IA: 0.3,2018,6
ID,0.14285714285714285,ID: 0.1,2018,6
IL,0.15384615384615385,IL: 0.2,2018,6
IN,0.16,IN: 0.2,2018,6
KS,-1.064516129032258,KS: -1.1,2018,6
KY,-0.5384615384615384,KY: -0.5,2018,6
LA,-0.25,LA: -0.2,2018,6
MA,-1.0,MA: -1.0,2018,6
MD,1.1538461538461537,MD: 1.2,2018,6
ME,-1.0588235294117647,ME: -1.1,2018,6
MI,0.14545454545454545,MI: 0.1,2018,6
MN,0.9411764705882353,MN: 0.9,2018,6
MO,-0.5384615384615384,MO: -0.5,2018,6
MS,0.4166666666666667,MS: 0.4,2018,6
MT,1.5,MT: 1.5,2018,6
NC,-0.16853932584269662,NC: -0.2,2018,6
ND,-0.6666666666666666,ND: -0.7,2018,6
NE,-1.25,NE: -1.2,2018,6
NH,-1.2222222222222223,NH: -1.2,2018,6
NJ,0.6923076923076923,NJ: 0.7,2018,6
NM,-2.769230769230769,NM: -2.8,2018,6
NV,-0.4,NV: -0.4,2018,6
NY,-0.6944444444444444,NY: -0.7,2018,6
OH,0.14705882352941177,OH: 0.1,2018,6
OK,-0.45454545454545453,OK: -0.5,2018,6
OR,-0.8260869565217391,OR: -0.8,2018,6
PA,0.21739130434782608,PA: 0.2,2018,6
RI,-0.25,RI: -0.2,2018,6
SC,0.045454545454545456,SC: 0.0,2018,6
SD,-0.1111111111111111,SD: -0.1,2018,6
TN,0.0,TN: 0.0,2018,6
TX,-1.5789473684210527,TX: -1.6,2018,6
UT,-1.4,UT: -1.4,2018,6
VA,1.1481481481481481,VA: 1.1,2018,6
VT,-1.2,VT: -1.2,2018,6
WA,-0.08333333333333333,WA: -0.1,2018,6
WI,0.3548387096774194,WI: 0.4,2018,6
WV,1.2142857142857142,WV: 1.2,2018,6
WY,0.36363636363636365,WY: 0.4,2018,6
AK,-1.0,AK: -1.0,2018,7
AL,-1.5217391304347827,AL: -1.5,2018,7
AR,-1.5714285714285714,AR: -1.6,2018,7
AZ,-1.3157894736842106,AZ: -1.3,2018,7
CA,-1.48,CA: -1.5,2018,7
CAN,-1.0522388059701493,CAN: -1.1,2018,7
CO,-1.9166666666666667,CO: -1.9,2018,7
CT,-0.6923076923076923,CT: -0.7,2018,7
DE,-1.0,DE: -1.0,2018,7
FL,0.25675675675675674,FL: 0.3,2018,7
GA,0.4444444444444444,GA: 0.4,2018,7
IA,-0.8181818181818182,IA: -0.8,2018,7
ID,-2.142857142857143,ID: -2.1,2018,7
IL,-0.3888888888888889,IL: -0.4,2018,7
IN,-0.8333333333333334,IN: -0.8,2018,7
KS,-0.9696969696969697,KS: -1.0,2018,7
KY,-1.1428571428571428,KY: -1.1,2018,7
LA,-0.5,LA: -0.5,2018,7
MA,-1.0,MA: -1.0,2018,7
MD,-1.0,MD: -1.0,2018,7
ME,-0.7083333333333334,ME: -0.7,2018,7
MI,-1.3103448275862069,MI: -1.3,2018,7
MN,0.6428571428571429,MN: 0.6,2018,7
MO,-1.78125,MO: -1.8,2018,7
MS,-0.7142857142857143,MS: -0.7,2018,7
MT,0.0,MT: 0.0,2018,7
NC,-0.37373737373737376,NC: -0.4,2018,7
ND,-0.6666666666666666,ND: -0.7,2018,7
NE,0.5,NE: 0.5,2018,7
NH,-1.6666666666666667,NH: -1.7,2018,7
NJ,-0.29411764705882354,NJ: -0.3,2018,7
NM,-1.8024691358024691,NM: -1.8,2018,7
NV,-0.3333333333333333,NV: -0.3,2018,7
NY,-0.9298245614035088,NY: -0.9,2018,7
OH,-0.56,OH: -0.6,2018,7
OK,-0.8947368421052632,OK: -0.9,2018,7
OR,-1.75,OR: -1.8,2018,7
PA,-0.1724137931034483,PA: -0.2,2018,7
RI,-1.8571428571428572,RI: -1.9,2018,7
