State,ScAlabamaeBArkansas,text,yeArkansas,month
Nevada,1,NV: 1.0,2018,3
New York,0.842105263,NY: 0.8,2018,3
Ohio,0.925,OH: 0.9,2018,3
Oklahoma,-0.894736842,OK: -0.9,2018,3
Oregon,-0.060606061,OR: -0.1,2018,3
Pennsylvania,0.857142857,PA: 0.9,2018,3
South Carolina,-0.325,SC: -0.3,2018,3
South Dakota,-0.2,SD: -0.2,2018,3
Tennessee,1.153846154,TN: 1.2,2018,3
Texas,-0.402985075,TX: -0.4,2018,3
Utah,-2,UT: -2.0,2018,3
Virginia,0.409090909,VA: 0.4,2018,3
Vermont,-0.25,VT: -0.2,2018,3
Washington,0.586206897,WA: 0.6,2018,3
Wisconsin,-0.545454545,WI: -0.5,2018,3
West Virginia,0.777777778,WV: 0.8,2018,3
Wyoming,0.368421053,WY: 0.4,2018,3
Alaska,2,Alaska: 2.0,2018,4
Arkansas,0,Arkansas: 0.0,2018,4
Arizona,-2.310344828,Arizona: -2.3,2018,4
California,-0.3,CA: -0.3,2018,4
CAN,-0.444444444,CAN: -0.4,2018,4
Colorado,-1.828282828,CO: -1.8,2018,4
Connecticut,0.736842105,CT: 0.7,2018,4
Delaware,-0.25,DE: -0.2,2018,4
Florida,-1.239130435,FL: -1.2,2018,4
Georgia,0,GA: 0.0,2018,4
Iowa,-0.6,IA: -0.6,2018,4
Idaho,0.833333333,ID: 0.8,2018,4
Illinois,-0.033898305,IL: -0.0,2018,4
Indiana,0.72,IN: 0.7,2018,4
Kansas,-2,KS: -2.0,2018,4
Kentucky,0.461538462,KY: 0.5,2018,4
Louisiana,-0.25,LA: -0.2,2018,4
Massachusetts,0.666666667,MA: 0.7,2018,4
Maryland,0.090909091,MD: 0.1,2018,4
Maine,0.2,ME: 0.2,2018,4
Michigan,-0.333333333,MI: -0.3,2018,4
Minnesota,0.272727273,MN: 0.3,2018,4
Missouri,0.347826087,MO: 0.3,2018,4
Mississippi,1.833333333,MS: 1.8,2018,4
Montana,0.333333333,MT: 0.3,2018,4
North Carolina,-0.114583333,NC: -0.1,2018,4
North Dakota,-0.2,ND: -0.2,2018,4
Nebraska,-1,NE: -1.0,2018,4
New Hampshire,0.666666667,NH: 0.7,2018,4
New Jersey,0.090909091,NJ: 0.1,2018,4
New Mexico,-2.483870968,NM: -2.5,2018,4
Nevada,0,NV: 0.0,2018,4
New York,0.476190476,NY: 0.5,2018,4
Ohio,1.292682927,OH: 1.3,2018,4
Oklahoma,-0.666666667,OK: -0.7,2018,4
Oregon,0.59375,OR: 0.6,2018,4
Pennsylvania,0.888888889,PA: 0.9,2018,4
Rhode Island,1.6,RI: 1.6,2018,4
South Carolina,-0.456521739,SC: -0.5,2018,4
South Dakota,0.444444444,SD: 0.4,2018,4
Tennessee,0.666666667,TN: 0.7,2018,4
Texas,-0.823529412,TX: -0.8,2018,4
Virginia,0.130434783,VA: 0.1,2018,4
Vermont,0.166666667,VT: 0.2,2018,4
Washington,1.078947368,WA: 1.1,2018,4
Wisconsin,-0.454545455,WI: -0.5,2018,4
West Virginia,0.666666667,WV: 0.7,2018,4
Wyoming,0.263157895,WY: 0.3,2018,4
Alaska,2,Alaska: 2.0,2018,5
Alabama,-0.571428571,Alabama: -0.6,2018,5
Arkansas,1.5,Arkansas: 1.5,2018,5
Arizona,-2.609756098,Arizona: -2.6,2018,5
California,-0.05,CA: -0.1,2018,5
CAN,-0.556338028,CAN: -0.6,2018,5
Colorado,-1.417582418,CO: -1.4,2018,5
Connecticut,0.363636364,CT: 0.4,2018,5
Delaware,0.75,DE: 0.8,2018,5
Florida,-0.632183908,FL: -0.6,2018,5
Georgia,-0.142857143,GA: -0.1,2018,5
Iowa,0,IA: 0.0,2018,5
Idaho,-0.142857143,ID: -0.1,2018,5
Illinois,-0.462962963,IL: -0.5,2018,5
Indiana,-0.35483871,IN: -0.4,2018,5
Kansas,-1.064516129,KS: -1.1,2018,5
Kentucky,-0.357142857,KY: -0.4,2018,5
Louisiana,-1.5,LA: -1.5,2018,5
Massachusetts,0,MA: 0.0,2018,5
Maryland,0.7,MD: 0.7,2018,5
Maine,-0.5,ME: -0.5,2018,5
Michigan,0.905660377,MI: 0.9,2018,5
Minnesota,-1.074074074,MN: -1.1,2018,5
Missouri,-0.52,MO: -0.5,2018,5
Mississippi,0.428571429,MS: 0.4,2018,5
Montana,1.6,MT: 1.6,2018,5
North Carolina,0.159574468,NC: 0.2,2018,5
North Dakota,-1.5,ND: -1.5,2018,5
Nebraska,-0.857142857,NE: -0.9,2018,5
New Hampshire,-0.875,NH: -0.9,2018,5
New Jersey,1,NJ: 1.0,2018,5
New Mexico,-2.804878049,NM: -2.8,2018,5
Nevada,0.833333333,NV: 0.8,2018,5
New York,-0.285714286,NY: -0.3,2018,5
Ohio,0.131578947,OH: 0.1,2018,5
Oklahoma,-0.214285714,OK: -0.2,2018,5
Oregon,-1,OR: -1.0,2018,5
Pennsylvania,0.76,PA: 0.8,2018,5
Rhode Island,1,RI: 1.0,2018,5
South Carolina,-0.357142857,SC: -0.4,2018,5
South Dakota,-0.75,SD: -0.8,2018,5
Tennessee,-0.5,TN: -0.5,2018,5
