State,ScAlabamaeBArkansas,text,yeArkansas,month
New Mexico,-0.630434783,NM: -0.6,2018,12
Nevada,0.25,NV: 0.2,2018,12
New York,1.111111111,NY: 1.1,2018,12
Ohio,1.512820513,OH: 1.5,2018,12
Oklahoma,0.545454545,OK: 0.5,2018,12
Oregon,-0.275862069,OR: -0.3,2018,12
Pennsylvania,2.206896552,PA: 2.2,2018,12
Rhode Island,1.5,RI: 1.5,2018,12
South Carolina,1.645833333,SC: 1.6,2018,12
Tennessee,1.2,TN: 1.2,2018,12
Texas,1.015151515,TX: 1.0,2018,12
Utah,-2,UT: -2.0,2018,12
Virginia,1.75862069,VA: 1.8,2018,12
Vermont,0,VT: 0.0,2018,12
Washington,0.6,WA: 0.6,2018,12
Wisconsin,0.310344828,WI: 0.3,2018,12
West Virginia,2.055555556,WV: 2.1,2018,12
Wyoming,-1,WY: -1.0,2018,12
